entities,source
"[[""Genetic_testing"",60],[""Machine_learning"",90],[""Biology"",90]]","At Nostos Genomics, we partner with genetic testing labs to give more people with genetic diseases a clear and fast diagnosis. To achieve this, we developed a platform that leverages a unique combination of machine learning and synthetic biology."
"[[""Genetics_(journal)"",90],[""Medicine"",60],[""List_of_life_sciences"",70],[""Software_as_a_service"",80]]","SOPHiA GENETICS is a healthcare technology company dedicated to establishing the practice of data-driven medicine as the standard of care and for life sciences research. It is the creator of the SOPHiA DDM™ Platform, a cloud-based SaaS platform capable of analyzing data and generating insights from complex multimodal data sets and different diagnostic modalities. The SOPHiA DDM™ Platform and related solutions, products and services are currently used by more than 780 hospital, laboratory and biopharma institutions globally."
"[[""Bioinformatics"",100],[""Human_genome"",60]]","Genomenal is a genomic data management platform. It was developed due to collaboration of medical geneticists and bioinformatics scientists. NGS Wizard application is a main part of Genomenal, it represents a scalable pipeline for massive genomic data analysis. It simplifies data processing for bioinformatics scientists and researchers substantially -- just upload the files and check the results at the completion. After uploading user’s data an application starts the analysis process automatically and does not require any user interaction. All stages from quality control and cleanup of sequencing data, mapping on human genome, annotation to filtration and prioritization are automated. NGS Wizard is an easy to use application, it saves your time and simplifies data processing."
"[[""Cancer"",70],[""Machine_learning"",90],[""Oncology"",100],[""Artificial_intelligence"",90]]","Lantern Pharma, Inc. is a clinical stage pharmaceutical company developing new classes of precision cancer drugs with novel mechanisms of action. Lantern also rescues and revitalizes abandoned or failed cancer drugs using machine learning techniques, genomic data and precision oncology trials. Lantern Pharma recognizes that the high cost and low success rates in oncology drug development largely stem from the inability to appropriately stratify patient populations prior to enrollment, and also from the inability to fully elucidate mechanisms of action that can suggest potent therapy combinations. Our approach, which  leverages our RADR™ platform helps to provide rapid, meaningful insight to both of these central problems in oncology. Lantern is focused on accelerating personalized cancer therapy development through the use of AI and genomic-based patient stratification."
"[[""Drug_discovery"",80],[""Pharmaceutical_drug"",80]]",Micar Innovation is a drug discovery factory. The company has found a niche where it is able to create a large societal impact by improving the quality of life through discovery novel blockbuster drug molecules for a large class of diseases (Pipeline).
"[[""Block_chain"",90],[""Artificial_intelligence"",90]]",Genomics| Blockchain| AI
"[[""Artificial_intelligence"",90],[""Sperm"",80]]","Engender has developed a proprietary process to separate X (female) and Y (male) bearing bull sperm cells, enabling dairy farmers to accelerate genetic gain and improve productivity. Engender has secured scientific and laboratory facilities from one of the world’s largest AI companies in exchange for an option for it to non-exclusively license Engender’s technology."
"[[""Big_data"",80],[""Liquid_biopsy"",60],[""DNA_sequencing"",90],[""Artificial_intelligence"",90],[""Cancer"",70],[""Shenzhen"",80],[""Production_Workshop"",60],[""Shangrao"",100],[""Illumina_dye_sequencing"",90],[""Digital_polymerase_chain_reaction"",60],[""Genetic_testing"",60],[""Biopsy"",90],[""Polymerase_chain_reaction"",80]]","Hypros is the world's leading high-tech enterprise in precision medical and genetic big data. The company is committed to integrating cutting-edge emerging technologies such as liquid biopsy, gene sequencing, artificial intelligence, and big data. It focuses on the whole process of diagnosis and treatment of cancer patients, and is determined to use technology to improve the quality of life and make every life healthy for 120 years.  Hypros has completed the multi-center globalization of Shenzhen R&D Headquarters, Third-Party Medical Laboratory, GMP Production Workshop, US R&D Center, Hypus Genome Center and Shangrao International Precision Medical Health Industrial Park. The company invested hundreds of millions of dollars to introduce the world's most advanced Illumina NovaSeq6000, HiSeq X Ten, NextSeq500/550 series sequencing platform and digital PCR platform, successfully built the world's top genetic testing center. At present, the company's sequencing throughput is the second in the world, and the output of tumor gene data ranks in the forefront of the country. The business covers 300+ top three hospitals in more than 30 provinces."
"[[""Cancer"",70],[""Intelligence_analysis"",60],[""Liquid_biopsy"",60],[""Assay"",60],[""Artificial_intelligence"",90],[""Pattern_recognition"",90],[""Unnecessary_health_care"",60],[""Chemotherapy"",90],[""Radiation_therapy"",60],[""Ezra"",80],[""New_York_City"",90],[""Biopsy"",90]]","C2i Genomics provides cloud-based cancer diagnostic services to pharmaceutical and diagnostic organizations. The cancer intelligence company is developing a platform that can perform whole-genome sequencing using only 2 milliliters of blood. Its ultra-sensitive liquid biopsy assay allows physicians to monitor patient treatment response and detect treatment failure or disease recurrence months and potentially years earlier than current monitoring methods. C2i’s cancer diagnostics service uses artificial intelligence pattern recognition and the whole-genome analysis to spot trace amounts of cancer much quicker, in about a week, to inform better treatment decisions and ultimately save lives. The company aims to help patients avoid unnecessary overtreatment with toxic chemotherapy or radiation, as well as to prevent them from going without treatment while cancer quietly grows and metastasizes. In 2019, Boris Oklander, Asaf Zviran, and Ezra Sofer established the company in New York, New York."
"[[""Cancer"",70],[""Oncology"",100],[""Artificial_intelligence"",90],[""Paris"",90],[""Boston"",90]]","Over the past couple of decades, the exponential progress of sequencing technologies has allowed an increasing number of cancer patients to benefit from precision oncology. However, the aggregation, analysis, and visualization of the massive amounts of genomic data remain a major challenge for precision oncology expansion. The Epigene Labs technology platform enables cancer drug hunters to seamlessly leverage advanced artificial intelligence in transforming genomic data into actionable insights for designing precision oncology approaches. With R&D in Paris and business development in Boston, Epigene Labs operates in the setting of value-based partnerships with world leading cancer centers and high-profile biotechs."
