entities,source
[],The application provides new and improved methods for diagnosing IBS.
"[[""Genome"",90],[""Dielectric"",100],[""Folksonomy"",100],[""Positive-definite_matrix"",70]]",The present invention relates to a genome analysis system. The dielectric analysis system according to an embodiment of the present invention includes a folksonomy construction system and an analysis part. The folksonomy construction system receives omix data for genes corresponding to the clinical variable of a specific disease. The folksonomy construction system extracts genome annotations from the omix data and classifies the genome annotations to generate a classification matrix. The folksonomy construction system generates mapping data corresponding to a folksonomy structure based on the classification matrix. The analysis part analyzes disease associations to genes based on the mapping data. The genome analysis system of the present invention can efficiently analyze a relationship between genome and disease.
"[[""Blood–brain_barrier"",90]]","Provided herein are computer implemented methods of evaluating, detecting, and identifying biomarkers of blood brain barrier disruption. Also provided herein are kits and methods for detecting blood brain barrier disruption in a subject."
"[[""Computational_biology"",90],[""Automation"",80],[""Machine_learning"",90],[""Pattern_recognition"",90],[""Agnosticism"",90]]","The present disclosure provides a HTP microbial genomic engineering platform that is computationally driven and integrates molecular biology, automation, and advanced machine learning protocols. This integrative platform utilizes a suite of HTP molecular tool sets to create HTP genetic design libraries, which are derived from, inter alia, scientific insight and iterative pattern recognition. The HTP genomic engineering platform described herein is microbial strain host agnostic and therefore can be implemented across taxa. Furthermore, the disclosed platform can be implemented to modulate or improve any microbial host parameter of interest."
"[[""Fluorescence"",90],[""Algorithm"",80],[""Linnaean_taxonomy"",60]]","A method for identification and/or characterization of a microbial agent present in a sample includes a step of analytical test data (e.g., obtaining intrinsic fluorescence values over a range of emission wavelengths) from the microbial agent. The analytical test data is transformed thereby minimizing strain to strain variations within an organism group. With the aid of a programmed computer, a multi-level classification algorithm coded as a set of processing instructions operates on the transformed analytic test data. The multiple levels correspond to different levels in a taxonomic hierarchy for microbial agents suspected of being in the sample."
"[[""Assay"",60],[""Philippine_Basketball_Association"",70],[""Polymerase_chain_reaction"",80],[""Oligonucleotide"",90],[""Chain_reaction"",80],[""Chemical_kinetics"",60]]","Various embodiments of methods for analyzing proximity binding assay (PBA) data are disclosed. Proximity binding assays as a class of analyses offer the advantages of the sensitivity and specificity of biorecognition binding, along with the exponential signal amplification offered by a variety of oligonucleotide amplification reactions, such as the polymerase chain reaction (PCR). However, as various proximity binding assays have reaction kinetics governed by an additional step of the binding of a biorecognition probe (BRP) with a target molecule, there is a need for methods for the analysis of PBA data that are particularly suited to the unique characteristics of such data."
"[[""Mammal"",90]]","Provided is a method of assessing whether a subject mammal has a target condition, comprising a step of formulating a function of abundances of a first group of biomarkers and abundances of a second group of biomarkers that is useful for assessing whether the subject mammal has the target condition. Also provided are a computer-aided system for assessing whether a subject mammal has a target condition and a computer-readable medium for assessing whether a subject mammal has a target condition."
"[[""Biomarker"",90]]","Provided herein are biomarkers useful for determining frailty, a biomarker signature for frailty, and methods of using the biomarkers to identify, classify, and treat a subject having frailty. Provided herein are also biomarkers useful for determining, identifying, classifying, and treating conditions associated with altered physical reserve, physical fitness, and exercise capacity."
"[[""Carcinoma"",90],[""Gene"",90],[""RAB1A"",90],[""REG3A"",90],[""Neuroblastoma_RAS_viral_oncogene_homolog"",90],[""RAMP3"",60],[""MERTK"",100],[""EPH_receptor_A1"",100],[""Laminin,_alpha_3"",90],[""HN1_(nitrogen_mustard)"",60],[""PAK2"",80],[""Alpha-fetoprotein"",70],[""CYP2C9"",100],[""CDH2"",100],[""SAE1"",90],[""ADH6"",90],[""ALDH1L1"",60],[""Insulin-like_growth_factor_1"",80],[""LECT2"",60],[""SLC38A1"",60],[""Lymphoid_enhancer-binding_factor_1"",90],[""Matrilin-2"",60],[""Windows_3.0"",90],[""PFN2"",90],[""SPINT2"",90],[""TBX3"",100],[""Fibroblast_growth_factor_receptor_2"",100],[""Subgroup"",60],[""Neoplasm"",60],[""Scientific_pitch_notation"",60],[""Power_Mac_G4"",90]]","Methodology for the in vitro classification and/or prognosis of hepatocellular carcinoma (HCC) from a HCC sample is based on the determination of the expression profile of particular gene combinations. For example, in one embodiment, a method comprises measuring the expression level in an HCC sample of at least 8 genes selected from the group consisting of: RAB1A, REG3A, NRAS, RAMP3, MERTK, PIR, EPHA1, LAMA3, G0S2, HN1, PAK2, AFP, CYP2C9, CDH2, HAMP, SAE1, ADH6, DCN, FLJ10159, ALDH1L1, IGF1, LECT2, SLC38A1, SPARCL1, CTNNA2, GLUL, LEF1, MATN2, MME, PFN2, SPINT2, TBX3, and FGFR2; b) calculating 6 subgroup distances from the expression profile; and c) classifying the HCC tumor in the subgroup for which the subgroup distance is the lowest, wherein the 6 subgroups G1, G2, G3, G4, G5, and G6 are defined by the presence (+) or absence (−) of their clinical and genetic features."
"[[""Crosstalk"",80],[""Base_calling"",60],[""Pixel"",100],[""Lookup_table"",90],[""Signal-to-noise_ratio"",90]]","The technology disclosed attenuates spatial crosstalk from sequencing images for base calling. In particular, the technology disclosed accesses an image whose pixels depict intensity emissions from a target cluster and intensity emissions from additional adjacent clusters. The pixels include a center pixel that contains a center of the target cluster. Each pixel in the pixels is divisible into a plurality of subpixels. Depending upon a particular subpixel, in a plurality of subpixels of the center pixel, which contains the center of the target cluster, the technology disclosed selects, from a bank of subpixel lookup tables, a subpixel lookup table that corresponds to the particular subpixel. The selected subpixel lookup table contains pixel coefficients that are configured to maximizes a signal-to-noise ratio. The technology disclosed element-wise multiplies the pixel coefficients with the pixels and determines a weighted sum."
"[[""Database"",60]]","The present invention provides methods, databases and devices for establishing the first integration of social behavior with biological phenotypic measurements. In one embodiment, a method for correlating data from a sample database and a survey database is provided. The method comprises obtaining a sample comprising biological molecules from an individual, simultaneously obtaining survey data from the individual, storing the survey data in the survey database, analyzing the sample of biological molecules to determine the composition of biological molecules, storing the data from the composition in the sample database, and correlating the data from the sample database to the data from the survey database."
"[[""Long_non-coding_RNA"",60],[""Neoplasm"",60],[""Exon"",100],[""Gene"",90],[""Before_Present"",90],[""Saliva"",70],[""Clinical_urine_tests"",70],[""Cancer"",70]]","It is to find the lncRNA relevant to tumor and predict its function herein.We as the reference of diagnosis, find out the relation between lncRNA and tumor using lncRNA differential expression in tumor.The first step, downloads data from GEO data base, obtains the expression data of exon and part lncRNA after processing it.The expression data handled well are carried out Differential expression analysis by second step.3rd step, analyzes the lncRNA of differential expression and its coexpression and the encoding gene of difference and lncRNA.4th step, carries out probe platform annotation by encoding gene.5th step, screens further to differential expression lncRNA, selects the lncRNA of significant difference.6th step, carries out enrichment and analyzes, obtain GO BP process and pathway.The function of lncRNA is speculated by the bioprocess involved by encoding gene.7th step, to public encoding gene obtained in the previous step, analyses whether to enter blood, saliva and urine, is analyzed the gene that can enter, and these genes and lncRNA can serve as a potential predictive marker of cancer."
[],There is provided a tool for effectively performing a meaningful analysis of a system state by using a specific index. A part having a peculiar behavior is extracted as an event timing from time-series data on an index derived from a system. An event descriptor describing the state of the system by using the event timing is generated. A method for generating the event descriptor associated with at least one system includes: a step (A) for acquiring time-series data on at least one index derived from at least one system; a step (B) for providing at least one peculiar behavior associated with the index; and a step (C) for extracting a part having the peculiar behavior as an event timing in the time-series data and generating an event descriptor described by the event timing.
"[[""Bioinformatics"",100],[""Machine_learning"",80],[""Cancer"",70],[""Gene"",90],[""DNA_methylation"",90],[""Linear_model"",90],[""Regulation_of_gene_expression"",80],[""False_discovery_rate"",90],[""Statistical_significance"",70],[""Algorithm"",80]]","The invention belongs to bioinformatics and supervised learning method and technology field, a kind of general cancer gene expression and the association analysis method that methylates are disclosed, difference expression gene and differential methylation site are filtered out using the sane t methods of inspection for combining linear model and Empirical Bayes；Differential gene and methylation sites are combined with protein reciprocation network, find significance difference opposite sex module using PPI protein reciprocation networks as framework；The sub-net module that false discovery rate FDR is more than threshold value is deleted, and obtains the sub-net module with statistical significance；Similar association mode and common regulatory gene between finding out gene expression and methylating.The present invention combines PPI networks, and finding influences the molecular pathway that cancer occurs, and finds algorithm using SPG modules, the sub-net module drawn has biological meaning.The pathogenic pattern of identical that the present invention is used to find between various cancers, so as to be preferably applied for cancer pathogenesis."
"[[""Chemotherapy_regimen"",100],[""Gene"",90],[""SLC12A7"",90],[""GZMB"",90],[""TAF6L"",70],[""Cyclin_D1"",100],[""PTTG1"",90],[""H2AFZ"",80],[""MCM2"",90],[""DNA_replication_factor_CDT1"",70],[""MCM6"",100],[""CCL5"",100],[""XCL1"",70],[""XCL2"",80],[""MELK"",70],[""TPX2"",90],[""Aurora_A_kinase"",90],[""CDKN2C"",70],[""SMC4"",70],[""Nuclear_receptor_related-1_protein"",80],[""CDC25B"",100],[""ABCF1"",90],[""SNAPC3"",60],[""RANBP9"",90],[""ITGA6"",90],[""S100P"",70],[""RANBP1"",70],[""SMARCA2"",100],[""STK24"",90],[""CENPF"",90],[""DBF4"",90],[""Cyclin_A2"",90],[""DLGAP5"",90],[""FHL1"",80],[""Proliferating_cell_nuclear_antigen"",100],[""CHD3"",90],[""CAP1"",90],[""GNAI3"",100],[""LMO4"",90],[""STK38"",60],[""CENPA"",90]]","The present invention provides, inter alia, kits for selecting a chemotherapy regimen for a subject. The kits comprise one or more components for detecting the expression of at least one gene from the group of SLC12A7, GZMB, TAF6L, NFIB, METRN, ROPN1B, TTK, CCND1, PTTG1, H2AFZ, WDR45L, DEK, MCM2, USP1, CDT1, TMEM97, RER1, MCM6, LZTFL1, C11orf17, CCL5, XCL1, XCL2, MELK, CTSL2, TPX2, AURKA, CDKN2C, BRP44, PNP, SMC4, NR4A2, C3orf37, MTPAP, CDC25B, ABCF1, MTAP, SNAPC3, RANBP9, COIL, FAM86B1, ITGA6, S100P, RANBP1, PRSS16, SMARCA2, STK24, TSPYL5, SRI, LRP12, CENPF, TUBD1, KIAA1324, DBF4, CCNA2, DLGAP5, FHL1, SIRT3, GTSE1, PCNA, CCNE2, CHD3, CAP1, GPM6B, GUSBP3, GNAI3, LMO4, PSRC1, USP1, STK38, BAT2L1, PMP22, NME5, CENPA, BANK1, and derivatives thereof. Methods for selecting a chemotherapy regimen for a subject are also provided."
"[[""DNA"",90],[""Genome"",90],[""Cell-free_fetal_DNA"",80],[""Ploidy"",90]]","A system and method for determining the genetic data for one or a small set of cells, or from fragmentary DNA, where a limited quantity of genetic data is available, are disclosed. Genetic data for the target individual is acquired and amplified using known methods, and poorly measured base pairs, missing alleles and missing regions are reconstructed using expected similarities between the target genome and the genome of genetically related subjects. In accordance with one embodiment of the invention; incomplete genetic data is acquired from embryonic cells, fetal cells, or cell-free fetal DNA isolated from the mother&#39;s blood, and the incomplete genetic data is reconstructed using the more complete genetic data from a larger sample diploid cells from one or both parents, with or without genetic data from haploid cells from one or both parents, and/or genetic data taken from other related individuals."
"[[""Carcinoma"",90],[""Gene"",90]]",The present invention concerns methods for the in vitro classification and/or prognosis of hepatocellular carcinoma (HCC). The present methods are based on the determination of the expression profile of particular gene combinations.
