publication_number,abstract_text
US-10745694-B2,"The present disclosure provides a HTP microbial genomic engineering platform that is computationally driven and integrates molecular biology, automation, and advanced machine learning protocols. This integrative platform utilizes a suite of HTP molecular tool sets to create HTP genetic design libraries, which are derived from, inter alia, scientific insight and iterative pattern recognition. The HTP genomic engineering platform described herein is microbial strain host agnostic and therefore can be implemented across taxa. Furthermore, the disclosed platform can be implemented to modulate or improve any microbial host parameter of interest."
US-10184144-B2,"A method for identification and/or characterization of a microbial agent present in a sample includes a step of analytical test data (e.g., obtaining intrinsic fluorescence values over a range of emission wavelengths) from the microbial agent. The analytical test data is transformed thereby minimizing strain to strain variations within an organism group. With the aid of a programmed computer, a multi-level classification algorithm coded as a set of processing instructions operates on the transformed analytic test data. The multiple levels correspond to different levels in a taxonomic hierarchy for microbial agents suspected of being in the sample."
CN-106295246-A,"It is to find the lncRNA relevant to tumor and predict its function herein.We as the reference of diagnosis, find out the relation between lncRNA and tumor using lncRNA differential expression in tumor.The first step, downloads data from GEO data base, obtains the expression data of exon and part lncRNA after processing it.The expression data handled well are carried out Differential expression analysis by second step.3rd step, analyzes the lncRNA of differential expression and its coexpression and the encoding gene of difference and lncRNA.4th step, carries out probe platform annotation by encoding gene.5th step, screens further to differential expression lncRNA, selects the lncRNA of significant difference.6th step, carries out enrichment and analyzes, obtain GO BP process and pathway.The function of lncRNA is speculated by the bioprocess involved by encoding gene.7th step, to public encoding gene obtained in the previous step, analyses whether to enter blood, saliva and urine, is analyzed the gene that can enter, and these genes and lncRNA can serve as a potential predictive marker of cancer."
US-2022128556-A1,The application provides new and improved methods for diagnosing IBS.
US-10296842-B2,"Systems, platforms, methods and media for providing genomic services are disclosed. In one example, a genomic services platform comprises a network interface through which are received genomic sequence reads derived from a biological sample obtained from a user. The platform also includes a bioinformatics processing pipeline including a read alignment module configured to generate observed sequence data by aligning the sequence reads relative to a reference sequence, a variant calling module operative to identify observed variants in the observed sequence data, and a variant refinement module for producing genotype data including a set of refined variants associated with the user. A variant imputation module produces a set of imputed variants associated with the user, and is configured to receive, as input, at least some of the genotype data and separate the genotype data into high-quality and low-quality genotypes based on a genotype quality."
US-2014017227-A1,"The present invention provides a method for predicting prognosis of hepatocellular carcinoma patients based on measurement of the relative level of expression of a combination of 15 immune genes of interest, or a subset thereof, in the tumors of such patients. Tumor material can come from surgical resection or biopsy. The relative gene expression information may be combined in an algorithm. The signature can be used by itself or in combination with other information such as stage information."
KR-20180090680-A,The present invention relates to a genome analysis system. The dielectric analysis system according to an embodiment of the present invention includes a folksonomy construction system and an analysis part. The folksonomy construction system receives omix data for genes corresponding to the clinical variable of a specific disease. The folksonomy construction system extracts genome annotations from the omix data and classifies the genome annotations to generate a classification matrix. The folksonomy construction system generates mapping data corresponding to a folksonomy structure based on the classification matrix. The analysis part analyzes disease associations to genes based on the mapping data. The genome analysis system of the present invention can efficiently analyze a relationship between genome and disease.
US-2019241942-A1,"Various embodiments of methods for analyzing proximity binding assay (PBA) data are disclosed. Proximity binding assays as a class of analyses offer the advantages of the sensitivity and specificity of biorecognition binding, along with the exponential signal amplification offered by a variety of oligonucleotide amplification reactions, such as the polymerase chain reaction (PCR). However, as various proximity binding assays have reaction kinetics governed by an additional step of the binding of a biorecognition probe (BRP) with a target molecule, there is a need for methods for the analysis of PBA data that are particularly suited to the unique characteristics of such data."
WO-2013106765-A1,Methods and compositions to detect expression of one or more biomarkers for identifying and treating patients who are likely to be responsive to VEGF antagonist therapy are disclosed. Also disclosed are kits and articles of manufacture for use in the methods.
CN-111944915-A,"The invention specifically discloses a method for evaluating beef quality characters based on intestinal flora, which comprises the following steps: s1 collecting and storing feces; s2 PCR amplification, designing primers according to a conventional biological method, carrying out PCR amplification by using universal primers 338F and 806R of a V3-V4 region of 16SrRNA, and preparing an upper computer library required by experimental process construction by using a standard Illumina TruSeq DNA library; s3 analyzing the diversity composition spectrum of the intestinal flora; s4 correlation analysis method. The method is based on a second-generation high-throughput sequencing technology, utilizes a 16S rRNA high-variable region in a fecal sample to calculate species composition and abundance of intestinal flora, performs correlation analysis on meat quality related characters of beef cattle, screens out biomarkers related to the meat quality characters through correlation of the intestinal flora and the meat quality related characters, and judges the meat quality characters of the beef cattle according to the biomarkers."
