cb_org_id,description
165b3b18-18fc-4075-8144-ad5bc10af571,"At Nostos Genomics, we partner with genetic testing labs to give more people with genetic diseases a clear and fast diagnosis. To achieve this, we developed a platform that leverages a unique combination of machine learning and synthetic biology."
160eca7b-f12d-4d4d-8439-348fcbe56188,"Hypros is the world's leading high-tech enterprise in precision medical and genetic big data. The company is committed to integrating cutting-edge emerging technologies such as liquid biopsy, gene sequencing, artificial intelligence, and big data. It focuses on the whole process of diagnosis and treatment of cancer patients, and is determined to use technology to improve the quality of life and make every life healthy for 120 years.  Hypros has completed the multi-center globalization of Shenzhen R&D Headquarters, Third-Party Medical Laboratory, GMP Production Workshop, US R&D Center, Hypus Genome Center and Shangrao International Precision Medical Health Industrial Park. The company invested hundreds of millions of dollars to introduce the world's most advanced Illumina NovaSeq6000, HiSeq X Ten, NextSeq500/550 series sequencing platform and digital PCR platform, successfully built the world's top genetic testing center. At present, the company's sequencing throughput is the second in the world, and the output of tumor gene data ranks in the forefront of the country. The business covers 300+ top three hospitals in more than 30 provinces."
21d92d2a-a36b-4673-aa00-a2a6a2798831,"C2i Genomics provides cloud-based cancer diagnostic services to pharmaceutical and diagnostic organizations. The cancer intelligence company is developing a platform that can perform whole-genome sequencing using only 2 milliliters of blood. Its ultra-sensitive liquid biopsy assay allows physicians to monitor patient treatment response and detect treatment failure or disease recurrence months and potentially years earlier than current monitoring methods. C2i’s cancer diagnostics service uses artificial intelligence pattern recognition and the whole-genome analysis to spot trace amounts of cancer much quicker, in about a week, to inform better treatment decisions and ultimately save lives. The company aims to help patients avoid unnecessary overtreatment with toxic chemotherapy or radiation, as well as to prevent them from going without treatment while cancer quietly grows and metastasizes. In 2019, Boris Oklander, Asaf Zviran, and Ezra Sofer established the company in New York, New York."
d7204322-2e3a-413d-9879-ad3079821d0d,"Genomenal is a genomic data management platform. It was developed due to collaboration of medical geneticists and bioinformatics scientists. NGS Wizard application is a main part of Genomenal, it represents a scalable pipeline for massive genomic data analysis. It simplifies data processing for bioinformatics scientists and researchers substantially -- just upload the files and check the results at the completion. After uploading user’s data an application starts the analysis process automatically and does not require any user interaction. All stages from quality control and cleanup of sequencing data, mapping on human genome, annotation to filtration and prioritization are automated. NGS Wizard is an easy to use application, it saves your time and simplifies data processing."
0138012c-4472-bfc5-6003-934c6c1b13ed,"SOPHiA GENETICS is a healthcare technology company dedicated to establishing the practice of data-driven medicine as the standard of care and for life sciences research. It is the creator of the SOPHiA DDM™ Platform, a cloud-based SaaS platform capable of analyzing data and generating insights from complex multimodal data sets and different diagnostic modalities. The SOPHiA DDM™ Platform and related solutions, products and services are currently used by more than 780 hospital, laboratory and biopharma institutions globally."
00825240-51f5-05c4-3285-7276e35f4e0a,Micar Innovation is a drug discovery factory. The company has found a niche where it is able to create a large societal impact by improving the quality of life through discovery novel blockbuster drug molecules for a large class of diseases (Pipeline).
1942c9e5-c80a-42f7-84b3-37c60585b16e,"Majecules is a research-based start-up in the field of computational molecular biosciences with focus on Drug Discovery and Bioinformatics, serving pharmaceutical, biotechnology and academic entities on the individual and institutional level. Majecules bridges the gap between education, research and industry by providing contract research services in Computer-Aided Drug Design (CADD), Genomic data science, computational chemistry and their related fields. Besides, our team of researchers alongside with our interdisciplinary network of partners cooperate in various research projects in order to reduce time, cost and effort of translating publication-level research to patents, prototypes and products. Furthermore, we will launch the first research incubator program to connect young researchers with suitable academic PIs (principle investigator) to promote collaborative research in Egypt and the MENA region. Also, we develop user-friendly software solutions designed to upgrade and complement open- source software utilized by researchers and experts in the field. Finally, Majecules offers smart educational courseware which provides the user with interactive and personalized research-based education, in additon to a series of training courses & practical workshops to educate and raise the societal awareness in Egypt and the MENA region."
6c92ae39-50ff-378e-89c0-7cd1bd79b634,"Engender has developed a proprietary process to separate X (female) and Y (male) bearing bull sperm cells, enabling dairy farmers to accelerate genetic gain and improve productivity. Engender has secured scientific and laboratory facilities from one of the world’s largest AI companies in exchange for an option for it to non-exclusively license Engender’s technology."
f1162f67-f131-4af5-979e-4aeb360f1ad1,"Dimitra is a global Agtech company with a mission to help smallholder farmers across the world.  Dimitra works with governments, farming cooperatives, ag corps, NGOs, and for-profit organizations. The Dimitra platform is built on blockchain technology and incorporates mobile technology, machine learning, IoT devices, satellite and drone imagery, genomics, and advanced farming research.  Through our data-driven approach, Dimitra helps farmers increase yield, reduce expenses, and mitigate risk.  Dimitra believes that every smallholder farmer should, benefit from simple, beautiful, and useful technology regardless of economic standing."
4bfa0df9-c3c2-1eb6-acd9-e64946284dbf,"Lantern Pharma, Inc. is a clinical stage pharmaceutical company developing new classes of precision cancer drugs with novel mechanisms of action. Lantern also rescues and revitalizes abandoned or failed cancer drugs using machine learning techniques, genomic data and precision oncology trials. Lantern Pharma recognizes that the high cost and low success rates in oncology drug development largely stem from the inability to appropriately stratify patient populations prior to enrollment, and also from the inability to fully elucidate mechanisms of action that can suggest potent therapy combinations. Our approach, which  leverages our RADR™ platform helps to provide rapid, meaningful insight to both of these central problems in oncology. Lantern is focused on accelerating personalized cancer therapy development through the use of AI and genomic-based patient stratification."
